År,År-Månad,A5_id,A5_Id_Description,Befattningskod,BefattningskodText,Åldersgrupp,Antal anställningar,Sjukfrånvaro total %,Sjukfrånvaro total tim
2020,2020-JUN,18,Ekonomiavdelning,5678,Anläggningsarbetare,20-29 år,40,4.19 %,249.7
2019,2019-JAN,13,Personalavdelning,9012,Anläggningsarbetare,40-49 år,19,5.35 %,217.1
2019,2019-APR,8,Personalavdelning,5678,IT-specialist,30-39 år,12,7.26 %,143.0
2021,2021-JAN,7,IT-avdelning,7594,Anläggningsarbetare,30-39 år,30,7.03 %,160.4
2019,2019-JUN,17,Serviceförvaltningen,5678,Platschef,30-39 år,40,4.15 %,210.9
2021,2021-APR,15,Teknisk Förvaltning,5678,Mekaniker,20-29 år,25,3.87 %,245.3
2020,2020-MAR,15,Personalavdelning,1234,IT-specialist,20-29 år,32,3.19 %,168.3
2019,2019-MAR,1,Teknisk Förvaltning,7594,Platschef,20-29 år,8,3.09 %,224.4
2021,2021-SEP,14,Personalavdelning,7594,Platschef,40-49 år,20,9.16 %,246.3
2021,2021-JUN,5,Serviceförvaltningen,1234,Platschef,20-29 år,26,3.32 %,231.0
2020,2020-SEP,11,Serviceförvaltningen,5678,Administratör,40-49 år,16,8.12 %,134.1
2019,2019-MAY,16,Personalavdelning,9012,Administratör,30-39 år,20,9.1 %,101.2
2019,2019-FEB,2,IT-avdelning,7594,Mekaniker,30-39 år,44,3.69 %,173.8
2021,2021-AUG,8,Serviceförvaltningen,7594,Platschef,50-59 år,42,6.05 %,179.7
2019,2019-MAY,11,Serviceförvaltningen,5678,Administratör,20-29 år,46,9.74 %,130.2
2021,2021-FEB,18,Ekonomiavdelning,5678,Administratör,30-39 år,41,8.84 %,142.7
2019,2019-APR,3,Serviceförvaltningen,7594,Administratör,20-29 år,33,6.43 %,214.8
2021,2021-SEP,1,Ekonomiavdelning,5678,Mekaniker,40-49 år,22,8.34 %,170.6
2019,2019-APR,11,Serviceförvaltningen,9012,Mekaniker,30-39 år,14,8.83 %,147.6
2020,2020-DEC,16,Serviceförvaltningen,7594,Platschef,20-29 år,46,5.44 %,193.4
2019,2019-DEC,18,IT-avdelning,9012,IT-specialist,30-39 år,43,9.25 %,197.9
2019,2019-DEC,16,IT-avdelning,9012,Platschef,30-39 år,22,6.29 %,215.4
2020,2020-APR,10,Serviceförvaltningen,5678,Administratör,20-29 år,5,6.69 %,123.5
2019,2019-FEB,18,Personalavdelning,9012,Administratör,30-39 år,43,10.0 %,211.2
2020,2020-DEC,6,Personalavdelning,5678,Anläggningsarbetare,30-39 år,25,8.9 %,189.9
2019,2019-JUN,19,Serviceförvaltningen,1234,Platschef,30-39 år,5,5.53 %,108.6
2021,2021-NOV,4,Personalavdelning,5678,Administratör,30-39 år,19,3.07 %,216.6
2021,2021-FEB,13,Serviceförvaltningen,9012,Administratör,40-49 år,8,7.38 %,157.5
2019,2019-DEC,14,IT-avdelning,1234,IT-specialist,30-39 år,24,7.93 %,149.6
2019,2019-JUL,3,Teknisk Förvaltning,5678,Anläggningsarbetare,50-59 år,14,7.56 %,167.2
2019,2019-MAR,10,Ekonomiavdelning,9012,Platschef,30-39 år,27,9.78 %,151.9
2021,2021-MAR,6,Personalavdelning,7594,Mekaniker,20-29 år,45,9.04 %,150.7
2019,2019-MAY,1,Personalavdelning,7594,Platschef,50-59 år,38,6.14 %,221.2
2021,2021-MAR,14,IT-avdelning,5678,Platschef,40-49 år,37,3.44 %,118.7
2020,2020-FEB,8,Personalavdelning,5678,IT-specialist,50-59 år,38,6.33 %,245.6
2021,2021-OCT,19,Serviceförvaltningen,7594,Platschef,50-59 år,43,7.82 %,183.2
2021,2021-SEP,14,Serviceförvaltningen,9012,IT-specialist,50-59 år,14,7.25 %,127.4
2020,2020-FEB,10,Teknisk Förvaltning,9012,IT-specialist,20-29 år,24,6.77 %,119.7
2021,2021-NOV,17,Teknisk Förvaltning,9012,Administratör,20-29 år,5,6.28 %,188.7
2019,2019-FEB,9,Teknisk Förvaltning,5678,Mekaniker,20-29 år,17,5.06 %,194.9
2019,2019-AUG,6,Serviceförvaltningen,1234,IT-specialist,40-49 år,5,4.94 %,108.0
2021,2021-SEP,11,Teknisk Förvaltning,1234,Anläggningsarbetare,20-29 år,9,6.5 %,136.5
2019,2019-JUL,7,Teknisk Förvaltning,1234,Anläggningsarbetare,20-29 år,20,4.12 %,219.3
2021,2021-MAR,17,Serviceförvaltningen,1234,Mekaniker,50-59 år,19,5.38 %,107.4
2019,2019-SEP,1,IT-avdelning,1234,IT-specialist,20-29 år,32,5.27 %,228.3
2019,2019-MAR,5,Personalavdelning,5678,Mekaniker,30-39 år,35,7.11 %,198.7
2021,2021-MAY,9,Ekonomiavdelning,5678,Administratör,20-29 år,27,3.47 %,165.2
2019,2019-SEP,18,Serviceförvaltningen,1234,Anläggningsarbetare,40-49 år,49,8.81 %,152.0
2021,2021-DEC,2,Serviceförvaltningen,5678,Platschef,40-49 år,47,6.94 %,102.9
2019,2019-MAR,11,Ekonomiavdelning,5678,Anläggningsarbetare,30-39 år,21,7.7 %,223.8
2019,2019-JUL,6,Ekonomiavdelning,1234,IT-specialist,40-49 år,38,7.92 %,121.4
2020,2020-DEC,8,Teknisk Förvaltning,9012,Mekaniker,40-49 år,17,5.04 %,146.4
2020,2020-JAN,4,Ekonomiavdelning,5678,Anläggningsarbetare,50-59 år,18,6.29 %,185.4
2021,2021-APR,18,Personalavdelning,9012,Platschef,30-39 år,15,9.69 %,136.9
2020,2020-APR,11,Personalavdelning,5678,Platschef,50-59 år,32,8.37 %,174.6
2021,2021-JUL,5,Personalavdelning,5678,Mekaniker,50-59 år,46,9.79 %,221.4
2020,2020-AUG,15,Personalavdelning,1234,Mekaniker,20-29 år,36,8.22 %,170.6
2019,2019-JAN,18,Personalavdelning,5678,Anläggningsarbetare,30-39 år,39,4.23 %,242.3
2021,2021-MAY,2,Teknisk Förvaltning,7594,IT-specialist,20-29 år,35,3.45 %,227.1
2021,2021-JUL,11,Serviceförvaltningen,7594,Administratör,20-29 år,21,7.04 %,150.0
2019,2019-DEC,13,Ekonomiavdelning,1234,Platschef,50-59 år,13,5.5 %,160.0
2021,2021-APR,4,Serviceförvaltningen,9012,Mekaniker,40-49 år,14,4.93 %,163.5
2021,2021-APR,7,Ekonomiavdelning,9012,Administratör,30-39 år,12,8.65 %,193.9
2020,2020-APR,11,Teknisk Förvaltning,9012,Administratör,40-49 år,25,5.57 %,143.0
2021,2021-DEC,4,Teknisk Förvaltning,7594,Administratör,50-59 år,17,5.22 %,245.4
2019,2019-JUN,15,IT-avdelning,9012,IT-specialist,50-59 år,9,8.95 %,191.3
2020,2020-JUL,1,IT-avdelning,9012,Mekaniker,50-59 år,10,8.92 %,159.9
2020,2020-FEB,3,Teknisk Förvaltning,1234,Platschef,50-59 år,34,5.49 %,196.8
2019,2019-MAY,14,Teknisk Förvaltning,9012,Mekaniker,50-59 år,35,8.83 %,159.3
2019,2019-APR,6,Ekonomiavdelning,7594,Anläggningsarbetare,50-59 år,21,8.96 %,222.7
2020,2020-MAR,18,Teknisk Förvaltning,7594,Platschef,40-49 år,15,5.97 %,185.2
2021,2021-JUL,1,Serviceförvaltningen,7594,Mekaniker,20-29 år,24,3.47 %,106.3
2020,2020-NOV,6,Ekonomiavdelning,1234,Platschef,40-49 år,13,3.01 %,126.5
2019,2019-DEC,6,Teknisk Förvaltning,1234,Anläggningsarbetare,30-39 år,6,6.66 %,229.7
2020,2020-JUN,16,Ekonomiavdelning,5678,Platschef,40-49 år,41,5.41 %,184.4
2019,2019-JUL,5,Ekonomiavdelning,9012,Administratör,50-59 år,5,9.98 %,242.6
2020,2020-MAY,17,Personalavdelning,1234,IT-specialist,40-49 år,8,8.41 %,110.9
2021,2021-JUN,10,IT-avdelning,7594,Anläggningsarbetare,20-29 år,40,8.33 %,144.3
2020,2020-MAY,18,Ekonomiavdelning,7594,Platschef,30-39 år,29,9.69 %,129.0
2020,2020-JUL,7,Ekonomiavdelning,1234,Anläggningsarbetare,40-49 år,7,9.21 %,183.1
2019,2019-FEB,3,Personalavdelning,1234,Administratör,20-29 år,13,5.23 %,157.4
2019,2019-NOV,13,Teknisk Förvaltning,1234,IT-specialist,40-49 år,26,4.16 %,123.6
2019,2019-MAY,15,Ekonomiavdelning,5678,Anläggningsarbetare,30-39 år,27,8.22 %,196.4
2020,2020-JUN,19,Personalavdelning,7594,Administratör,40-49 år,16,5.65 %,180.4
2021,2021-JUN,3,Serviceförvaltningen,5678,Administratör,50-59 år,14,6.31 %,141.2
2019,2019-MAY,4,Personalavdelning,5678,Administratör,40-49 år,38,7.41 %,172.0
2019,2019-OCT,5,IT-avdelning,9012,Platschef,20-29 år,47,9.36 %,211.9
2020,2020-JUL,1,IT-avdelning,7594,Mekaniker,40-49 år,14,5.93 %,130.8
2019,2019-OCT,4,Teknisk Förvaltning,7594,Anläggningsarbetare,20-29 år,34,8.48 %,143.9
2021,2021-AUG,12,Teknisk Förvaltning,1234,Mekaniker,30-39 år,26,4.88 %,151.9
2021,2021-JUL,10,IT-avdelning,1234,Administratör,40-49 år,10,7.89 %,212.0
2019,2019-MAY,13,IT-avdelning,9012,Mekaniker,30-39 år,6,3.01 %,227.0
2019,2019-JAN,14,Ekonomiavdelning,5678,Administratör,30-39 år,34,9.1 %,156.5
2020,2020-MAY,5,IT-avdelning,1234,Administratör,40-49 år,6,3.21 %,144.5
2021,2021-OCT,4,Teknisk Förvaltning,1234,IT-specialist,20-29 år,36,7.99 %,233.4
2021,2021-FEB,14,IT-avdelning,7594,IT-specialist,30-39 år,46,3.32 %,249.9
2019,2019-MAY,10,Teknisk Förvaltning,7594,Mekaniker,30-39 år,20,4.86 %,200.6
2020,2020-MAY,17,Serviceförvaltningen,1234,Anläggningsarbetare,40-49 år,16,6.48 %,248.5
2021,2021-FEB,10,IT-avdelning,7594,Mekaniker,40-49 år,5,5.94 %,199.0
2021,2021-MAY,7,Teknisk Förvaltning,9012,Anläggningsarbetare,40-49 år,12,4.34 %,210.0
2020,2020-APR,16,Personalavdelning,1234,Mekaniker,40-49 år,17,5.34 %,158.3
2020,2020-JAN,1,Ekonomiavdelning,7594,Platschef,40-49 år,19,8.09 %,164.9
2021,2021-MAR,17,Teknisk Förvaltning,9012,Platschef,50-59 år,48,7.68 %,121.6
2021,2021-JAN,9,IT-avdelning,7594,Anläggningsarbetare,40-49 år,12,3.5 %,223.4
2020,2020-DEC,6,IT-avdelning,7594,IT-specialist,20-29 år,14,8.23 %,239.7
2021,2021-NOV,19,Serviceförvaltningen,7594,Anläggningsarbetare,30-39 år,9,3.37 %,193.5
2019,2019-MAY,13,Personalavdelning,1234,Mekaniker,20-29 år,23,6.8 %,151.5
2019,2019-APR,3,Teknisk Förvaltning,5678,Administratör,20-29 år,42,4.82 %,123.1
2020,2020-JUL,7,Personalavdelning,7594,Platschef,50-59 år,15,7.11 %,139.8
2020,2020-MAY,9,Serviceförvaltningen,9012,Administratör,40-49 år,47,4.83 %,138.3
2020,2020-OCT,5,Ekonomiavdelning,1234,Platschef,30-39 år,24,9.89 %,192.0
2019,2019-APR,10,Personalavdelning,1234,Mekaniker,20-29 år,24,5.17 %,241.8
2021,2021-FEB,17,Serviceförvaltningen,9012,Platschef,40-49 år,25,4.69 %,107.2
2019,2019-APR,12,Teknisk Förvaltning,7594,Anläggningsarbetare,40-49 år,22,4.95 %,100.2
2021,2021-DEC,16,Ekonomiavdelning,5678,Administratör,50-59 år,14,9.28 %,190.0
2019,2019-FEB,3,IT-avdelning,7594,Administratör,50-59 år,38,7.45 %,142.6
2021,2021-AUG,9,Serviceförvaltningen,9012,Mekaniker,50-59 år,30,8.11 %,232.1
2019,2019-MAR,15,IT-avdelning,1234,Administratör,30-39 år,34,9.43 %,149.1
2020,2020-SEP,5,Ekonomiavdelning,5678,Mekaniker,20-29 år,13,9.38 %,143.5
2019,2019-APR,13,Serviceförvaltningen,1234,IT-specialist,50-59 år,35,8.17 %,140.4
2021,2021-JUN,14,Serviceförvaltningen,9012,Anläggningsarbetare,50-59 år,46,4.38 %,121.7
2019,2019-OCT,15,Ekonomiavdelning,7594,Platschef,50-59 år,8,8.9 %,187.2
2019,2019-MAY,16,Teknisk Förvaltning,5678,Platschef,20-29 år,10,4.43 %,125.2
2019,2019-OCT,13,Serviceförvaltningen,1234,Platschef,20-29 år,18,8.2 %,163.7
2020,2020-JAN,17,Ekonomiavdelning,1234,IT-specialist,50-59 år,8,7.8 %,169.1
2019,2019-SEP,8,Personalavdelning,1234,Anläggningsarbetare,50-59 år,30,8.31 %,103.1
2020,2020-JAN,2,IT-avdelning,7594,Administratör,40-49 år,43,6.73 %,102.5
2020,2020-AUG,5,Serviceförvaltningen,5678,Administratör,50-59 år,21,7.47 %,178.0
2019,2019-SEP,6,Personalavdelning,7594,Anläggningsarbetare,30-39 år,23,9.67 %,204.4
2019,2019-SEP,12,Serviceförvaltningen,7594,Anläggningsarbetare,30-39 år,10,3.71 %,241.3
2019,2019-JAN,18,Teknisk Förvaltning,7594,Platschef,50-59 år,33,5.16 %,126.9
2021,2021-FEB,1,Ekonomiavdelning,9012,Administratör,20-29 år,15,7.28 %,115.5
2019,2019-DEC,17,Serviceförvaltningen,9012,Anläggningsarbetare,40-49 år,20,9.75 %,107.8
2020,2020-JAN,11,Ekonomiavdelning,9012,Administratör,20-29 år,34,3.67 %,165.4
2019,2019-OCT,10,Serviceförvaltningen,5678,Anläggningsarbetare,50-59 år,29,3.16 %,193.5
2021,2021-FEB,19,Teknisk Förvaltning,7594,Mekaniker,30-39 år,44,3.39 %,226.1
2019,2019-OCT,14,Teknisk Förvaltning,7594,Platschef,40-49 år,15,3.37 %,202.4
2021,2021-DEC,10,Personalavdelning,9012,Anläggningsarbetare,20-29 år,11,9.35 %,131.3
2021,2021-AUG,15,Teknisk Förvaltning,7594,IT-specialist,20-29 år,30,8.05 %,169.3
2019,2019-MAY,19,Ekonomiavdelning,7594,Anläggningsarbetare,50-59 år,26,7.74 %,236.6
2020,2020-DEC,4,Teknisk Förvaltning,1234,Mekaniker,40-49 år,29,6.66 %,149.0
2021,2021-NOV,2,Serviceförvaltningen,7594,IT-specialist,30-39 år,23,8.47 %,174.8
2019,2019-JUL,9,Teknisk Förvaltning,1234,IT-specialist,50-59 år,35,4.09 %,243.8
2019,2019-FEB,10,Ekonomiavdelning,7594,Anläggningsarbetare,40-49 år,30,5.74 %,210.2
2020,2020-AUG,11,Serviceförvaltningen,5678,Mekaniker,20-29 år,46,6.43 %,212.2
2021,2021-NOV,14,Personalavdelning,9012,IT-specialist,50-59 år,45,3.77 %,137.9
2021,2021-JUN,7,Personalavdelning,1234,Platschef,20-29 år,40,5.94 %,162.2
2019,2019-AUG,15,Personalavdelning,9012,Platschef,20-29 år,27,5.22 %,112.4
2019,2019-JAN,19,Serviceförvaltningen,1234,Administratör,50-59 år,17,3.25 %,191.0
2020,2020-JAN,15,Personalavdelning,1234,Administratör,50-59 år,29,3.96 %,115.6
2020,2020-DEC,8,Teknisk Förvaltning,1234,Mekaniker,50-59 år,6,8.35 %,225.4
2021,2021-JUL,11,Serviceförvaltningen,5678,IT-specialist,50-59 år,6,3.13 %,222.2
2021,2021-AUG,9,Serviceförvaltningen,7594,Platschef,50-59 år,20,9.54 %,180.0
2019,2019-MAR,15,Serviceförvaltningen,1234,Platschef,20-29 år,13,3.6 %,121.2
2021,2021-MAY,1,IT-avdelning,5678,Mekaniker,30-39 år,32,8.59 %,103.8
2020,2020-DEC,1,Ekonomiavdelning,1234,IT-specialist,30-39 år,17,9.29 %,219.5
2020,2020-JAN,19,IT-avdelning,7594,Mekaniker,50-59 år,39,9.59 %,190.0
2019,2019-JUL,3,IT-avdelning,1234,Anläggningsarbetare,20-29 år,45,9.07 %,206.6
2020,2020-MAY,10,IT-avdelning,5678,Platschef,30-39 år,17,5.01 %,145.6
2020,2020-AUG,8,Ekonomiavdelning,7594,Mekaniker,30-39 år,35,5.33 %,176.4
2020,2020-AUG,15,IT-avdelning,5678,Mekaniker,30-39 år,25,5.99 %,212.1
2020,2020-SEP,10,Personalavdelning,7594,Anläggningsarbetare,20-29 år,36,3.98 %,169.4
2019,2019-JUL,1,Serviceförvaltningen,7594,Administratör,50-59 år,38,3.16 %,190.2
2019,2019-NOV,18,Serviceförvaltningen,9012,Platschef,50-59 år,12,9.08 %,218.5
2021,2021-JAN,2,Teknisk Förvaltning,9012,Mekaniker,50-59 år,45,6.88 %,132.3
2020,2020-MAR,19,Personalavdelning,9012,Platschef,40-49 år,6,7.26 %,109.9
2021,2021-AUG,13,Ekonomiavdelning,7594,Administratör,40-49 år,42,9.49 %,179.8
2019,2019-MAR,1,Serviceförvaltningen,1234,Mekaniker,40-49 år,36,7.66 %,109.3
2019,2019-AUG,2,IT-avdelning,5678,Anläggningsarbetare,20-29 år,44,7.84 %,215.0
2019,2019-JAN,16,Teknisk Förvaltning,5678,Platschef,30-39 år,32,8.51 %,207.9
2019,2019-MAY,15,Teknisk Förvaltning,5678,Anläggningsarbetare,30-39 år,41,3.81 %,232.3
2019,2019-APR,13,Serviceförvaltningen,9012,Administratör,20-29 år,45,5.52 %,195.9
2019,2019-MAY,16,Personalavdelning,7594,Administratör,20-29 år,5,9.78 %,110.1
2019,2019-AUG,17,Teknisk Förvaltning,9012,Platschef,50-59 år,45,9.46 %,138.0
2020,2020-OCT,7,Serviceförvaltningen,1234,Administratör,50-59 år,14,9.19 %,221.2
2021,2021-APR,17,Personalavdelning,7594,IT-specialist,40-49 år,8,6.16 %,125.1
2019,2019-NOV,7,Serviceförvaltningen,5678,Platschef,40-49 år,39,9.0 %,204.8
2020,2020-APR,13,Serviceförvaltningen,9012,IT-specialist,20-29 år,14,3.34 %,217.0
2020,2020-MAR,5,Personalavdelning,9012,Administratör,40-49 år,15,4.04 %,149.5
2021,2021-JUL,17,Personalavdelning,1234,Platschef,30-39 år,18,5.9 %,148.3
2019,2019-MAR,3,Personalavdelning,1234,IT-specialist,20-29 år,42,6.38 %,183.7
2021,2021-DEC,7,Serviceförvaltningen,9012,Administratör,20-29 år,16,4.84 %,229.2
2019,2019-MAR,17,Teknisk Förvaltning,1234,Mekaniker,30-39 år,49,5.5 %,133.6
2020,2020-NOV,7,Ekonomiavdelning,5678,Mekaniker,50-59 år,21,4.14 %,241.2
2020,2020-OCT,1,Ekonomiavdelning,1234,Anläggningsarbetare,50-59 år,20,6.42 %,189.9
2020,2020-MAY,17,Serviceförvaltningen,1234,Mekaniker,30-39 år,39,8.56 %,248.8
2020,2020-MAY,17,Serviceförvaltningen,9012,IT-specialist,30-39 år,6,7.63 %,113.4
2021,2021-JUN,11,Teknisk Förvaltning,9012,Mekaniker,40-49 år,15,3.75 %,119.0
2019,2019-AUG,3,Personalavdelning,7594,Platschef,20-29 år,45,6.41 %,224.0
2019,2019-OCT,15,Serviceförvaltningen,7594,Platschef,40-49 år,7,7.88 %,229.7
2021,2021-JUN,11,IT-avdelning,9012,Platschef,30-39 år,33,6.71 %,166.8
2019,2019-DEC,16,Personalavdelning,1234,Mekaniker,40-49 år,22,5.74 %,207.1
2020,2020-JAN,9,Serviceförvaltningen,1234,Mekaniker,30-39 år,24,7.35 %,230.1
2019,2019-AUG,1,IT-avdelning,7594,Anläggningsarbetare,40-49 år,18,9.78 %,106.5
2020,2020-AUG,16,Teknisk Förvaltning,7594,Administratör,40-49 år,38,3.66 %,186.1
2021,2021-SEP,9,IT-avdelning,7594,Anläggningsarbetare,50-59 år,35,5.73 %,228.0
2019,2019-SEP,19,Serviceförvaltningen,5678,IT-specialist,30-39 år,44,5.85 %,159.7
2021,2021-FEB,12,Ekonomiavdelning,5678,Platschef,40-49 år,46,7.04 %,145.4
2019,2019-FEB,19,Serviceförvaltningen,7594,Mekaniker,20-29 år,22,4.07 %,219.4
2020,2020-MAR,9,Ekonomiavdelning,1234,Administratör,40-49 år,34,4.24 %,150.4
2021,2021-JAN,7,Teknisk Förvaltning,7594,Administratör,40-49 år,29,5.0 %,100.5
2019,2019-APR,14,Teknisk Förvaltning,5678,Mekaniker,20-29 år,23,9.69 %,243.9
2020,2020-APR,19,Personalavdelning,1234,Anläggningsarbetare,30-39 år,12,8.14 %,188.8
2021,2021-SEP,19,Personalavdelning,5678,Administratör,50-59 år,32,7.63 %,222.9
2021,2021-SEP,2,Ekonomiavdelning,1234,Anläggningsarbetare,50-59 år,12,8.72 %,223.8
2019,2019-SEP,9,Ekonomiavdelning,5678,Mekaniker,50-59 år,35,3.89 %,110.0
2019,2019-OCT,13,Teknisk Förvaltning,1234,Anläggningsarbetare,20-29 år,7,9.02 %,125.6
2019,2019-JUL,15,IT-avdelning,1234,Platschef,40-49 år,7,7.16 %,146.7
2020,2020-FEB,3,Ekonomiavdelning,1234,Mekaniker,30-39 år,48,5.35 %,148.1
2019,2019-OCT,11,Ekonomiavdelning,1234,Mekaniker,40-49 år,26,8.71 %,198.8
2021,2021-MAY,14,IT-avdelning,9012,Administratör,50-59 år,21,8.62 %,193.5
2021,2021-APR,8,Personalavdelning,5678,Administratör,40-49 år,40,8.92 %,174.2
2019,2019-DEC,18,Personalavdelning,5678,Administratör,20-29 år,21,3.81 %,131.7
2019,2019-NOV,19,Ekonomiavdelning,9012,Platschef,20-29 år,18,9.79 %,157.3
2021,2021-AUG,16,Personalavdelning,1234,Platschef,30-39 år,13,9.72 %,181.5
2020,2020-FEB,2,Personalavdelning,1234,IT-specialist,30-39 år,34,5.5 %,170.2
2019,2019-JUN,8,Personalavdelning,5678,Mekaniker,50-59 år,25,3.46 %,119.1
2019,2019-MAY,6,Teknisk Förvaltning,9012,Administratör,30-39 år,16,4.17 %,197.4
2021,2021-DEC,12,Serviceförvaltningen,1234,Mekaniker,40-49 år,41,9.95 %,111.0
2019,2019-FEB,15,Ekonomiavdelning,1234,Anläggningsarbetare,20-29 år,36,6.94 %,156.7
2020,2020-NOV,8,Ekonomiavdelning,1234,Platschef,20-29 år,15,5.5 %,206.5
2021,2021-OCT,4,Teknisk Förvaltning,7594,IT-specialist,20-29 år,24,5.02 %,103.0
2019,2019-JAN,15,Serviceförvaltningen,9012,Anläggningsarbetare,30-39 år,39,4.8 %,185.5
2021,2021-AUG,17,Serviceförvaltningen,1234,Mekaniker,20-29 år,15,7.65 %,150.2
2019,2019-FEB,13,Teknisk Förvaltning,7594,Platschef,20-29 år,12,5.94 %,101.3
2019,2019-JUL,18,IT-avdelning,9012,Administratör,20-29 år,8,9.76 %,128.6
2019,2019-SEP,2,IT-avdelning,1234,Anläggningsarbetare,50-59 år,31,7.79 %,241.1
2020,2020-SEP,13,Serviceförvaltningen,5678,Platschef,50-59 år,48,8.54 %,178.2
2020,2020-AUG,13,IT-avdelning,7594,Mekaniker,30-39 år,44,5.05 %,249.6
2021,2021-NOV,15,IT-avdelning,7594,Mekaniker,20-29 år,42,3.55 %,178.7
2019,2019-DEC,10,IT-avdelning,1234,Anläggningsarbetare,30-39 år,34,6.41 %,181.6
2019,2019-OCT,3,Serviceförvaltningen,1234,Anläggningsarbetare,20-29 år,48,5.2 %,158.8
2020,2020-SEP,19,IT-avdelning,7594,Anläggningsarbetare,20-29 år,31,4.41 %,146.5
2019,2019-FEB,3,Ekonomiavdelning,5678,IT-specialist,20-29 år,25,9.67 %,137.7
2020,2020-JUN,14,Serviceförvaltningen,5678,Administratör,30-39 år,24,6.11 %,151.5
2019,2019-APR,8,Teknisk Förvaltning,9012,Platschef,30-39 år,8,4.22 %,169.0
2021,2021-APR,4,IT-avdelning,1234,Mekaniker,20-29 år,15,4.39 %,128.8
2019,2019-MAY,11,Personalavdelning,5678,Mekaniker,40-49 år,17,4.96 %,133.7
2019,2019-DEC,11,Serviceförvaltningen,9012,Administratör,30-39 år,13,10.0 %,140.7
2020,2020-MAR,11,Teknisk Förvaltning,5678,Anläggningsarbetare,50-59 år,8,4.88 %,167.4
2019,2019-JAN,2,Ekonomiavdelning,1234,Anläggningsarbetare,30-39 år,16,5.3 %,197.9
2019,2019-AUG,17,Teknisk Förvaltning,9012,Mekaniker,20-29 år,13,7.62 %,228.4
2020,2020-MAY,9,IT-avdelning,9012,Administratör,40-49 år,17,5.06 %,143.1
2021,2021-MAR,2,Personalavdelning,9012,Mekaniker,20-29 år,30,4.51 %,127.6
2021,2021-OCT,15,IT-avdelning,5678,Anläggningsarbetare,50-59 år,42,4.11 %,156.8
2020,2020-JUL,16,Teknisk Förvaltning,1234,Platschef,30-39 år,46,5.19 %,234.2
2020,2020-JUL,4,Serviceförvaltningen,9012,Anläggningsarbetare,30-39 år,17,3.74 %,101.5
2020,2020-JAN,8,Personalavdelning,7594,Platschef,20-29 år,43,3.13 %,201.7
2020,2020-DEC,9,Personalavdelning,1234,IT-specialist,20-29 år,32,8.63 %,171.6
2020,2020-SEP,5,Teknisk Förvaltning,7594,Administratör,50-59 år,23,3.97 %,124.2
2021,2021-FEB,16,IT-avdelning,7594,IT-specialist,40-49 år,28,8.43 %,148.2
2021,2021-MAY,13,Teknisk Förvaltning,9012,Anläggningsarbetare,50-59 år,23,8.58 %,133.7
2020,2020-MAY,7,Personalavdelning,9012,Administratör,40-49 år,17,6.77 %,231.7
2019,2019-AUG,17,Teknisk Förvaltning,5678,Anläggningsarbetare,30-39 år,17,5.17 %,172.3
2020,2020-AUG,3,Personalavdelning,5678,Administratör,40-49 år,32,4.02 %,184.5
2019,2019-JUL,5,IT-avdelning,5678,Administratör,40-49 år,6,8.16 %,189.1
2020,2020-JUL,19,Serviceförvaltningen,1234,Anläggningsarbetare,30-39 år,14,7.21 %,195.9
2020,2020-DEC,12,Serviceförvaltningen,5678,Anläggningsarbetare,30-39 år,26,7.59 %,174.3
2021,2021-NOV,7,Teknisk Förvaltning,7594,Administratör,30-39 år,17,3.06 %,102.7
2019,2019-JUN,9,Personalavdelning,5678,Administratör,50-59 år,13,9.49 %,150.2
2019,2019-JUN,6,Serviceförvaltningen,9012,Anläggningsarbetare,30-39 år,37,3.46 %,127.6
2021,2021-NOV,17,Personalavdelning,5678,Anläggningsarbetare,20-29 år,18,5.57 %,202.0
2021,2021-SEP,16,IT-avdelning,1234,Mekaniker,30-39 år,24,5.82 %,108.5
2021,2021-JUN,3,Teknisk Förvaltning,1234,Mekaniker,30-39 år,19,3.01 %,184.6
2021,2021-DEC,4,Personalavdelning,7594,Mekaniker,30-39 år,36,6.48 %,131.6
2019,2019-FEB,10,Teknisk Förvaltning,1234,IT-specialist,40-49 år,37,8.27 %,242.3
2019,2019-FEB,5,Personalavdelning,5678,Administratör,50-59 år,21,8.76 %,150.3
2020,2020-MAY,10,Personalavdelning,9012,Platschef,30-39 år,28,9.16 %,148.8
2020,2020-APR,12,IT-avdelning,1234,IT-specialist,50-59 år,34,6.41 %,238.5
2021,2021-NOV,10,Teknisk Förvaltning,7594,Administratör,20-29 år,17,7.41 %,162.6
2021,2021-FEB,13,Ekonomiavdelning,5678,Platschef,20-29 år,20,3.56 %,244.4
2021,2021-MAR,11,Personalavdelning,7594,Mekaniker,30-39 år,6,6.42 %,103.6
2020,2020-JUL,16,Personalavdelning,1234,Platschef,20-29 år,21,4.08 %,146.0
2020,2020-AUG,8,Serviceförvaltningen,1234,Anläggningsarbetare,50-59 år,36,5.59 %,199.9
2020,2020-DEC,8,Teknisk Förvaltning,7594,Anläggningsarbetare,40-49 år,47,5.31 %,233.6
2020,2020-JUN,8,Ekonomiavdelning,5678,Administratör,30-39 år,12,5.96 %,138.5
2020,2020-NOV,13,IT-avdelning,1234,IT-specialist,20-29 år,7,7.0 %,239.6
2020,2020-MAY,2,Ekonomiavdelning,9012,Mekaniker,50-59 år,16,9.32 %,189.1
